cidade,clima,visibilidade,temperatura,temp_min,temp_max,pressao,humidade,velocidade_vento,direcao_vento,data_previsao
Seoul,Clouds,10000,19.19,19.19,19.21,1007,88,1.24,75,2025-06-13T21:00:00Z
Seoul,Clouds,10000,21.56,21.56,22.75,1005,77,1.95,46,2025-06-14T00:00:00Z
Seoul,Clouds,10000,30.06,30.06,30.06,1002,45,0.99,103,2025-06-14T03:00:00Z
Seoul,Clouds,10000,31.39,31.39,31.39,1000,36,1.9,292,2025-06-14T06:00:00Z
Seoul,Clear,10000,26.51,26.51,26.51,999,44,4.58,272,2025-06-14T09:00:00Z
Seoul,Clouds,10000,22.93,22.93,22.93,1001,58,1.89,233,2025-06-14T12:00:00Z
Seoul,Clear,10000,24.98,24.98,24.98,1001,64,2.31,223,2025-06-14T15:00:00Z
Seoul,Clear,10000,23.42,23.42,23.42,1001,70,1.95,216,2025-06-14T18:00:00Z
Seoul,Clear,10000,22.97,22.97,22.97,1001,71,0.96,163,2025-06-14T21:00:00Z
Seoul,Clouds,10000,26.43,26.43,26.43,1000,57,2.31,175,2025-06-15T00:00:00Z
Seoul,Clouds,10000,29.57,29.57,29.57,999,50,3.13,168,2025-06-15T03:00:00Z
Seoul,Rain,10000,28.81,28.81,28.81,998,58,5.82,232,2025-06-15T06:00:00Z
Seoul,Rain,10000,23.56,23.56,23.56,998,87,3.75,213,2025-06-15T09:00:00Z
Seoul,Rain,10000,22.72,22.72,22.72,999,93,2.88,206,2025-06-15T12:00:00Z
Seoul,Rain,10000,22.25,22.25,22.25,999,94,2.27,197,2025-06-15T15:00:00Z
Seoul,Rain,10000,21.77,21.77,21.77,997,94,1.54,194,2025-06-15T18:00:00Z
Seoul,Rain,10000,21.99,21.99,21.99,997,93,0.88,161,2025-06-15T21:00:00Z
Seoul,Clouds,10000,23.19,23.19,23.19,998,84,3.41,181,2025-06-16T00:00:00Z
Seoul,Clouds,10000,25.01,25.01,25.01,999,69,6.78,207,2025-06-16T03:00:00Z
Seoul,Rain,10000,27.04,27.04,27.04,999,54,8.47,218,2025-06-16T06:00:00Z
Seoul,Rain,10000,23.09,23.09,23.09,1000,72,6.68,210,2025-06-16T09:00:00Z
Seoul,Rain,10000,21.48,21.48,21.48,1002,73,5.4,211,2025-06-16T12:00:00Z
Seoul,Clouds,10000,20.5,20.5,20.5,1003,79,5.37,210,2025-06-16T15:00:00Z
Seoul,Clouds,10000,20.29,20.29,20.29,1004,81,4.92,211,2025-06-16T18:00:00Z
Seoul,Clouds,10000,20.27,20.27,20.27,1005,80,3.53,191,2025-06-16T21:00:00Z
Seoul,Rain,10000,20.93,20.93,20.93,1006,77,3.53,203,2025-06-17T00:00:00Z
Seoul,Clouds,10000,23.79,23.79,23.79,1006,66,3.85,214,2025-06-17T03:00:00Z
Seoul,Clouds,10000,27.39,27.39,27.39,1006,50,4.73,234,2025-06-17T06:00:00Z
Seoul,Clear,10000,24.86,24.86,24.86,1006,63,3.85,243,2025-06-17T09:00:00Z
Seoul,Clear,10000,22.51,22.51,22.51,1008,76,2,224,2025-06-17T12:00:00Z
Seoul,Clear,10000,21.26,21.26,21.26,1009,84,1.19,204,2025-06-17T15:00:00Z
Seoul,Clouds,10000,20.34,20.34,20.34,1010,90,1.25,217,2025-06-17T18:00:00Z
Seoul,Clouds,10000,21.04,21.04,21.04,1011,79,0.75,152,2025-06-17T21:00:00Z
Seoul,Clouds,10000,24.9,24.9,24.9,1011,60,1.22,102,2025-06-18T00:00:00Z
Seoul,Clear,10000,30.88,30.88,30.88,1011,37,1.84,259,2025-06-18T03:00:00Z
Seoul,Clear,10000,32.98,32.98,32.98,1009,29,3.69,267,2025-06-18T06:00:00Z
Seoul,Clouds,10000,30.39,30.39,30.39,1009,34,4.39,264,2025-06-18T09:00:00Z
Seoul,Clouds,10000,26.55,26.55,26.55,1011,47,1.37,278,2025-06-18T12:00:00Z
Seoul,Clear,10000,24.84,24.84,24.84,1012,53,1.28,259,2025-06-18T15:00:00Z
Seoul,Clear,10000,23.33,23.33,23.33,1012,60,0.97,247,2025-06-18T18:00:00Z
Los Angeles,Clouds,10000,23.62,23.62,26,1011,60,4.42,232,2025-06-13T21:00:00Z
Los Angeles,Clouds,10000,24.15,24.15,25.01,1010,51,4.02,237,2025-06-14T00:00:00Z
Los Angeles,Clouds,10000,21.4,21.4,21.4,1010,55,1.94,215,2025-06-14T03:00:00Z
Los Angeles,Clouds,10000,18,18,18,1012,61,1.12,207,2025-06-14T06:00:00Z
